Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
NFLX,1182.035,Put,1305,2025-10-17T16:30:00-05:00,1,"121.05 x 8","128.40 x 13",128.4,630,ask,8089200,630,55,88.62%,-0.9834693902,MLFT,BuyToOpen,"15:00:34 ET"
ALAB,164.53,Put,220,2025-10-17T16:30:00-05:00,1,"55.10 x 38","57.70 x 113",57.69,1400,mid,8076600,14228,1118,355.42%,-0.929105077,MLFT,N/A,"14:53:24 ET"
TSLA,427.0699,Put,477.5,2025-10-17T16:30:00-05:00,1,"50.75 x 62","51.40 x 12",51.4,1560,ask,8018400,2199,159,120.03%,-0.9598325744,MLFT,BuyToOpen,"15:02:49 ET"
ADBE,329.71,Put,490,2026-01-16T16:30:00-06:00,92,"156.30 x 21","163.50 x 21",156.3,510,bid,7971300,510,35,0.00%,0,MLFT,SellToOpen,"14:47:54 ET"
META,721.48,Call,5,2026-09-18T16:30:00-05:00,337,"715.55 x 6","719.50 x 6",716.79,111,mid,7956300,111,4166,263.67%,0.9991357235954,TLAT,N/A,"10:19:39 ET"
AMD,235.085,Call,150,2026-03-20T16:30:00-05:00,155,"92.60 x 198","93.25 x 145",92.91,851,mid,7906600,4018,4383,64.74%,0.90599463788725,MLET,N/A,"15:33:21 ET"
APP,601.24,Put,690,2025-10-17T16:30:00-05:00,1,"86.90 x 115","94.00 x 114",94,840,ask,7896000,1076,140,163.20%,-0.9418650901,MLFT,BuyToOpen,"14:54:31 ET"
BABA,165.767,Put,190,2025-10-17T16:30:00-05:00,1,"23.90 x 355","25.70 x 366",24.26,3240,mid,7860200,7590,820,111.05%,-0.990085047,MLFT,N/A,"14:54:36 ET"
TXN,174.931,Put,210,2025-10-17T16:30:00-05:00,1,"34.30 x 67","36.25 x 55",34.3,2290,bid,7854700,6030,465,184.95%,-0.9670638665,MLFT,N/A,"15:03:16 ET"
PG,149.6,Put,165,2025-10-17T16:30:00-05:00,1,"13.55 x 490","17.50 x 474",15.4,5070,mid,7807800,10140,477,105.15%,-0.9602401238,SLFT,N/A,"15:59:40 ET"
COIN,335.069,Put,390,2025-10-17T16:30:00-05:00,1,"55.10 x 71","59.95 x 157",57.5,1350,mid,7762500,1383,427,172.45%,-0.9493341389,SLFT,ToOpen,"14:39:53 ET"
LULU,163.79,Put,310,2025-12-19T16:30:00-06:00,64,"145.10 x 15","149.00 x 15",149,520,ask,7748000,870,44,93.16%,-0.9391882014,MLFT,BuyToOpen,"14:50:33 ET"
DAVE,210.85,Put,250,2025-10-17T16:30:00-05:00,1,"37.50 x 6","41.50 x 6",41.4,1830,mid,7576200,1830,547,289.40%,-0.8527988094,MLFT,ToOpen,"14:55:29 ET"
NBIS,129.57,Call,50,2026-01-16T16:30:00-06:00,92,"76.70 x 71","76.80 x 6",76.8,985,ask,7564800,1106,3818,133.10%,0.96199275606346,AUTO,N/A,"13:07:20 ET"
FDS,276.05,Put,350,2025-10-17T16:30:00-05:00,1,"69.70 x 7","77.90 x 10",75.2,1000,mid,7520000,2500,10,293.98%,-0.9286336323,MLFT,N/A,"14:51:37 ET"
RCL,298.8355,Put,350,2025-10-17T16:30:00-05:00,1,"49.55 x 13","52.80 x 4",49.55,1510,bid,7482000,1512,57,112.58%,-0.996717893,MLFT,SellToOpen,"15:04:12 ET"
FICO,1622.2,Put,1870,2025-10-17T16:30:00-05:00,1,"240.00 x 3","256.70 x 1",256.7,290,ask,7444300,290,24,211.35%,-0.8906032689,MLFT,BuyToOpen,"14:51:41 ET"
BABA,164.89,Put,187.5,2025-10-17T16:30:00-05:00,1,"21.55 x 510","23.75 x 386",22.4,3300,mid,7392000,3315,435,164.19%,-0.9267884316,SLFT,ToOpen,"14:35:06 ET"
ALAB,164.19,Put,222.5,2025-10-17T16:30:00-05:00,1,"56.20 x 166","59.50 x 75",59.5,1237,ask,7360100,5447,305,392.92%,-0.9154595142,MLFT,N/A,"15:13:43 ET"
TTD,49.975,Put,110,2026-01-16T16:30:00-06:00,92,"59.25 x 285","61.20 x 211",60.6,1200,mid,7272000,2400,559,105.01%,-0.9056327345,SLFT,N/A,"15:51:50 ET"
APO,121.04,Put,190,2026-01-16T16:30:00-06:00,92,"67.50 x 246","70.90 x 228",69.2,1050,mid,7266000,2810,130,55.86%,-0.9447165715,SLFT,N/A,"15:57:24 ET"
FLUT,249.22,Put,280,2025-10-17T16:30:00-05:00,1,"29.40 x 13","32.00 x 11",29.4,2440,bid,7173600,6030,342,0.00%,0,MLFT,N/A,"14:54:22 ET"
COIN,330.25,Call,2.5,2026-01-16T16:30:00-06:00,92,"325.95 x 242","332.85 x 213",328.79,218,mid,7167600,959,15082,636.68%,0.99912419482655,TLET,N/A,"15:58:24 ET"
VG,8.98,Put,7.5,2026-12-18T16:30:00-06:00,428,"0.55 x 793","2.35 x 651",1.3,55000,mid,7150000,55000,2,80.25%,-0.2508562346,TLCT,ToOpen,"15:02:44 ET"
TTD,49.75,Put,110,2026-01-16T16:30:00-06:00,92,"58.00 x 276","61.20 x 233",59.25,1200,mid,7110000,1200,559,0.00%,0,SLFT,ToOpen,"14:32:06 ET"
ALAB,164.19,Put,220,2025-10-17T16:30:00-05:00,1,"54.10 x 145","57.00 x 75",57,1237,ask,7050900,19232,1118,382.11%,-0.9136020871,MLFT,N/A,"15:13:43 ET"
COIN,336.86,Call,200,2025-10-17T16:30:00-05:00,1,"132.30 x 307","137.25 x 99",135.81,519,mid,7048500,522,625,0.00%,0,MLAT,N/A,"13:58:44 ET"
TTD,49.82,Put,70,2025-10-17T16:30:00-05:00,1,"19.25 x 613","20.65 x 297",20.55,3410,mid,7007500,12789,4145,0.00%,0,MLFT,N/A,"15:12:41 ET"
KKR,117.55,Put,130,2025-10-17T16:30:00-05:00,1,"10.60 x 124","13.30 x 20",10.6,6600,bid,6996000,6600,1946,0.00%,0,MLFT,SellToOpen,"14:54:13 ET"
COIN,336.86,Call,210,2025-12-19T16:30:00-06:00,64,"130.80 x 19","132.30 x 40",130.8,519,bid,6788500,523,629,81.59%,0.94244053808811,MLAT,N/A,"13:58:44 ET"
B,35.7956,Call,30,2026-01-16T16:30:00-06:00,92,"6.60 x 1147","7.00 x 6",6.75,10000,mid,6750000,10031,55815,48.84%,0.80373495440429,TLCT,N/A,"10:12:37 ET"
ACN,235.52,Put,330,2026-01-16T16:30:00-06:00,92,"92.70 x 42","96.40 x 21",96.39,700,mid,6747300,3582,426,49.95%,-0.8940855073,MLFT,N/A,"14:50:11 ET"
FLUT,249.22,Put,290,2025-10-17T16:30:00-05:00,1,"39.40 x 10","42.90 x 9",39.4,1690,bid,6658600,3290,200,162.47%,-0.9592770715,MLFT,N/A,"14:54:22 ET"
HIMS,62.45,Call,56,2025-10-17T16:30:00-05:00,1,"6.50 x 73","6.75 x 87",6.64,10000,mid,6640000,10215,23568,152.04%,0.92089645144447,MLAT,N/A,"10:45:46 ET"
APO,121.045,Put,190,2026-01-16T16:30:00-06:00,92,"68.60 x 23","71.40 x 219",69.6,950,mid,6612000,1710,130,61.15%,-0.9166380626,SLFT,ToOpen,"15:48:36 ET"
BKNG,4957.5,Put,5400,2025-10-17T16:30:00-05:00,1,"426.80 x 10","458.90 x 8",433.52,150,mid,6502800,150,17,0.00%,0,MLFT,ToOpen,"14:55:14 ET"
ENPH,37.44,Put,105,2026-01-16T16:30:00-06:00,92,"66.25 x 517","69.00 x 453",67.6,960,mid,6489500,1690,324,108.75%,-0.9779990472,SLFT,N/A,"15:16:29 ET"
ACN,235.52,Put,295,2025-11-21T16:30:00-06:00,36,"58.10 x 20","61.20 x 21",61.2,1060,ask,6487200,1060,205,55.23%,-0.8891196728,MLFT,BuyToOpen,"14:50:11 ET"
FLUT,248.62,Put,290,2025-10-17T16:30:00-05:00,1,"39.00 x 10","41.90 x 18",40.5,1600,mid,6480000,1600,200,0.00%,0,MLFT,ToOpen,"14:39:59 ET"
TTD,49.975,Put,115,2026-01-16T16:30:00-06:00,92,"64.15 x 262","67.35 x 239",64.75,1000,mid,6475000,2000,221,117.34%,-0.8807317916,SLFT,N/A,"15:51:50 ET"
BABA,165.767,Put,182.5,2025-10-17T16:30:00-05:00,1,"16.15 x 425","17.35 x 218",17.35,3730,ask,6471500,5922,1396,143.77%,-0.8925425024,MLFT,BuyToOpen,"14:54:36 ET"
ALAB,161.21,Put,230,2025-10-17T16:30:00-05:00,1,"67.10 x 38","69.50 x 14",68.1,950,mid,6469400,951,118,0.00%,0,SLFT,ToOpen,"14:36:21 ET"
APP,612.71,Call,600,2025-12-19T16:30:00-06:00,64,"80.00 x 17","82.40 x 12",80.75,800,mid,6460000,818,745,71.49%,0.59648270739198,MLFT,ToOpen,"11:17:39 ET"
AVGO,355.01,Put,420,2026-09-18T16:30:00-05:00,337,"99.10 x 11","99.70 x 10",99.1,650,bid,6441400,650,3,47.04%,-0.5488886882,MLFT,SellToOpen,"11:45:38 ET"
TTD,49.75,Put,115,2026-01-16T16:30:00-06:00,92,"63.05 x 258","65.35 x 24",64.1,1000,mid,6409900,1000,221,0.00%,0,SLFT,ToOpen,"14:32:06 ET"
AVGO,351.62,Call,195,2025-10-17T16:30:00-05:00,1,"155.80 x 188","157.00 x 23",157,407,ask,6389900,1410,955,516.82%,0.98966846970573,AUTO,N/A,"14:59:52 ET"
SMR,55.648,Call,57,2025-10-24T16:30:00-05:00,8,"4.05 x 322","4.30 x 50",4.18,15000,mid,6269900,15128,886,146.85%,0.50095201162845,MLAT,ToOpen,"10:36:47 ET"
FICO,1622.2,Put,1830,2025-10-17T16:30:00-05:00,1,"200.00 x 4","217.80 x 2",214.64,290,mid,6224500,291,38,175.28%,-0.8976254172,MLFT,ToOpen,"14:51:41 ET"
MSTR,286.29,Put,365,2025-10-17T16:30:00-05:00,1,"78.35 x 30","79.70 x 30",79.7,780,ask,6216600,813,77,184.25%,-0.9937541593,MLFT,BuyToOpen,"15:04:02 ET"
FIG,58.62,Put,61,2025-10-17T16:30:00-05:00,1,"2.75 x 373","3.45 x 289",3.27,19000,mid,6213000,19898,20192,147.80%,-0.6825501716,MLAT,N/A,"14:29:12 ET"
CTAS,184.485,Put,230,2026-01-16T16:30:00-06:00,92,"41.50 x 7","49.80 x 7",46.89,1320,mid,6189400,1360,255,37.94%,-0.8667134109,MLFT,ToOpen,"14:55:39 ET"
AAPL,245.7121,Put,275,2025-10-17T16:30:00-05:00,1,"28.75 x 223","29.65 x 238",29.25,2100,mid,6142500,2900,101,86.20%,-0.994484329,MLFT,ToOpen,"14:40:33 ET"
AJG,280.13,Put,360,2025-12-19T16:30:00-06:00,64,"77.60 x 1","81.50 x 2",81.5,750,ask,6112500,750,0,46.23%,-0.8948061448,MLFT,BuyToOpen,"14:48:05 ET"
RH,174.8483,Put,215,2025-10-17T16:30:00-05:00,1,"38.60 x 29","43.00 x 27",42.62,1430,mid,6094600,1523,313,358.68%,-0.8430654267,MLFT,ToOpen,"15:04:02 ET"
MSTR,284.46,Call,200,2026-02-20T16:30:00-06:00,127,"100.60 x 158","103.00 x 113",101.04,600,mid,6062400,612,54,83.03%,0.83959639720781,MLFT,ToOpen,"15:51:29 ET"
VG,8.98,Call,12.5,2026-12-18T16:30:00-06:00,428,"0.75 x 685","3.80 x 651",1.1,55000,mid,6050000,55000,282,79.40%,0.52883571683081,TLCT,ToOpen,"15:02:44 ET"
ALNY,480.055,Call,290,2026-01-16T16:30:00-06:00,92,"192.70 x 1","197.00 x 5",193.7,312,mid,6043400,350,353,49.20%,0.9862654007323,SLFT,N/A,"15:27:43 ET"
FICO,1622.2,Put,1900,2025-10-17T16:30:00-05:00,1,"270.00 x 4","287.70 x 3",287.7,210,ask,6041700,210,15,234.47%,-0.890040165,MLFT,BuyToOpen,"14:51:41 ET"
ALAB,164.19,Put,230,2025-10-17T16:30:00-05:00,1,"63.80 x 179","67.00 x 100",67,885,ask,5929500,2116,118,424.18%,-0.9203487858,MLFT,N/A,"15:13:33 ET"
LULU,163.79,Put,185,2025-10-17T16:30:00-05:00,1,"20.45 x 210","23.35 x 186",21.81,2710,mid,5910500,4074,576,170.44%,-0.9067093652,MLFT,ToOpen,"14:50:33 ET"
ACN,235.52,Put,300,2025-11-21T16:30:00-06:00,36,"63.00 x 21","66.40 x 21",66.4,890,ask,5909600,890,150,59.64%,-0.8853560553,MLFT,BuyToOpen,"14:50:11 ET"
PG,149.6101,Put,165,2025-10-17T16:30:00-05:00,1,"13.95 x 316","16.45 x 226",15.5,3800,mid,5890000,3800,477,102.79%,-0.9635913224,SLFT,ToOpen,"14:42:14 ET"
TTD,49.82,Put,67.5,2025-10-17T16:30:00-05:00,1,"16.45 x 554","18.15 x 268",18.15,3230,ask,5862400,4730,842,417.95%,-0.8995701432,MLFT,BuyToOpen,"15:12:41 ET"
RH,175.99,Put,215,2025-10-17T16:30:00-05:00,1,"38.40 x 10","43.00 x 32",40.9,1430,mid,5848700,2953,313,323.30%,-0.8640095703,SLFT,N/A,"15:55:06 ET"
RDDT,197.73,Put,240,2025-10-17T16:30:00-05:00,1,"40.10 x 280","43.25 x 305",42.4,1340,mid,5681600,1388,194,179.37%,-0.9785093425,MLFT,ToOpen,"15:02:04 ET"
UNH,356.2,Put,520,2025-12-19T16:30:00-06:00,64,"160.80 x 45","166.70 x 45",166.7,340,ask,5667700,340,41,64.35%,-0.9025349849,MLFT,BuyToOpen,"15:01:16 ET"
TTD,49.975,Put,67.5,2025-10-17T16:30:00-05:00,1,"16.70 x 624","18.10 x 436",17.5,3210,mid,5617500,7941,842,0.00%,0,SLFT,N/A,"15:51:50 ET"
FDS,276.05,Put,330,2025-10-17T16:30:00-05:00,1,"52.40 x 11","55.20 x 11",55.2,1000,ask,5520000,2500,190,237.45%,-0.9153192595,MLFT,N/A,"14:51:37 ET"
B,35.7956,Call,25,2026-01-16T16:30:00-06:00,92,"10.90 x 1073","11.25 x 500",11,5000,mid,5500000,6510,60126,54.90%,0.92423474450856,TLCT,N/A,"10:12:37 ET"
BIDU,121.075,Put,133,2025-10-17T16:30:00-05:00,1,"10.90 x 243","12.65 x 183",12.65,4330,ask,5477400,4335,1293,162.61%,-0.8556145087,MLFT,BuyToOpen,"14:48:54 ET"
LULU,163.79,Put,330,2026-01-16T16:30:00-06:00,92,"165.65 x 6","169.15 x 13",165.65,330,bid,5466400,580,32,90.54%,-0.9227785588,MLFT,SellToOpen,"14:53:32 ET"
COF,201.845,Put,240,2025-10-17T16:30:00-05:00,1,"36.60 x 24","39.50 x 29",36.9,1480,mid,5461200,1480,2,0.00%,0,MLFT,ToOpen,"14:55:59 ET"
PGR,222.7621,Put,270,2025-11-21T16:30:00-06:00,36,"45.60 x 7","49.10 x 6",49.1,1110,ask,5450100,1150,73,53.00%,-0.8610998758,MLFT,BuyToOpen,"15:01:05 ET"
MU,203.8,Call,300,2026-03-20T16:30:00-05:00,155,"10.55 x 123","10.90 x 1",10.9,5000,ask,5450000,5080,411,65.31%,0.2550532757265,MLFT,BuyToOpen,"11:45:41 ET"
NKE,66.84,Put,120,2026-01-16T16:30:00-06:00,92,"51.30 x 241","54.85 x 208",51.9,1050,mid,5449500,2520,507,69.49%,-0.946287684,SLFT,N/A,"15:58:33 ET"
BIDU,121.075,Put,140,2025-10-17T16:30:00-05:00,1,"17.90 x 272","19.85 x 85",19.32,2810,mid,5428900,2812,804,189.04%,-0.9220391055,MLFT,ToOpen,"14:48:54 ET"
HUM,266.19,Put,295,2025-10-17T16:30:00-05:00,1,"26.70 x 57","30.50 x 32",30.14,1780,mid,5364900,1783,201,163.64%,-0.876319493,MLFT,ToOpen,"14:54:02 ET"
AJG,280.13,Put,350,2025-12-19T16:30:00-06:00,64,"67.50 x 2","71.50 x 2",71.5,750,ask,5362500,750,151,42.41%,-0.8867458015,MLFT,BuyToOpen,"14:48:05 ET"
ASML,1019.215,Put,1120,2025-10-17T16:30:00-05:00,1,"98.00 x 31","106.00 x 10",98.01,540,mid,5292500,833,95,110.52%,-0.945583234,MLFT,ToOpen,"14:54:53 ET"
BIDU,121.075,Put,136,2025-10-17T16:30:00-05:00,1,"13.80 x 140","16.00 x 17",16,3270,ask,5232000,3905,1232,212.26%,-0.8390395716,MLFT,BuyToOpen,"14:48:54 ET"
MP,84.4192,Put,90,2025-10-17T16:30:00-05:00,1,"5.90 x 231","6.60 x 187",6.53,8000,mid,5224000,10179,9909,161.64%,-0.7622600397,MLAT,N/A,"14:33:08 ET"
NVDA,181.2048,Call,170,2025-10-24T16:30:00-05:00,8,"12.75 x 113","12.90 x 167",12.95,4000,ask,5180000,5854,4196,53.82%,0.80293431709636,MLFT,N/A,"14:44:40 ET"
ASML,1019.215,Put,1100,2025-10-17T16:30:00-05:00,1,"78.10 x 43","86.00 x 23",78.44,660,mid,5177000,669,71,90.47%,-0.9440396848,MLFT,ToOpen,"14:54:53 ET"
RH,175.99,Put,230,2025-10-17T16:30:00-05:00,1,"51.10 x 7","58.30 x 34",55.7,920,mid,5124400,1943,131,377.72%,-0.8952739588,SLFT,N/A,"15:55:06 ET"
TSM,300.86,Put,340,2026-09-18T16:30:00-05:00,337,"68.00 x 11","69.20 x 44",68.29,750,mid,5121700,750,9,42.35%,-0.5264834001,MLFT,ToOpen,"13:14:08 ET"
LULU,162.17,Put,310,2025-12-19T16:30:00-06:00,64,"144.65 x 10","148.65 x 10",146,350,mid,5110000,350,44,0.00%,0,SLFT,ToOpen,"14:33:03 ET"
NKE,66.795,Put,120,2026-01-16T16:30:00-06:00,92,"51.30 x 182","54.85 x 148",51.98,980,mid,5094000,1260,507,0.00%,0,MLFT,ToOpen,"15:04:09 ET"
PLTR,178.816,Put,200,2026-09-18T16:30:00-05:00,337,"50.30 x 377","50.95 x 212",50.47,1000,mid,5047000,1002,263,59.75%,-0.4519836339,MLCT,ToOpen,"12:19:39 ET"
DECK,98.565,Put,115,2025-10-17T16:30:00-05:00,1,"16.00 x 35","18.30 x 38",17.2,2900,mid,4988000,5800,1544,246.22%,-0.8712111776,SLFT,N/A,"15:47:10 ET"
HD,384.61,Call,410,2028-01-21T16:30:00-06:00,827,"48.55 x 9","50.30 x 31",49.4,1000,mid,4940000,1000,21,25.25%,0.51058474894779,MLCT,ToOpen,"13:43:05 ET"
RGTI,48.8,Put,52,2025-10-17T16:30:00-05:00,1,"4.75 x 223","5.00 x 197",4.9,10000,mid,4900000,16923,13545,268.21%,-0.6486676678,MLAT,N/A,"11:09:20 ET"
ACN,235.52,Put,350,2026-01-16T16:30:00-06:00,92,"112.90 x 21","116.40 x 21",116.4,420,ask,4888800,420,92,56.38%,-0.9011299544,MLFT,BuyToOpen,"14:50:11 ET"
SATS,72.36,Call,60,2025-10-31T16:30:00-05:00,15,"12.00 x 123","12.60 x 4",12.65,3853,ask,4874000,3906,0,58.84%,0.94991100013085,MLET,BuyToOpen,"15:39:00 ET"
IREN,63.7604,Call,70,2025-12-19T16:30:00-06:00,64,"12.00 x 127","12.30 x 25",12.15,4000,mid,4860000,4825,13425,135.19%,0.55213743844841,TLCT,N/A,"11:44:41 ET"
LULU,163.79,Put,300,2025-12-19T16:30:00-06:00,64,"133.25 x 6","138.85 x 16",138.85,350,ask,4859700,350,32,106.28%,-0.8810456033,MLFT,BuyToOpen,"14:50:33 ET"
ACN,234.11,Put,350,2026-01-16T16:30:00-06:00,92,"113.70 x 72","117.00 x 46",115.5,420,mid,4851000,840,92,0.00%,0,SLFT,N/A,"15:43:50 ET"
COIN,338.16,Call,350,2025-10-24T16:30:00-05:00,8,"8.20 x 385","8.75 x 347",8.5,5680,mid,4828000,5746,1211,63.81%,0.37918940160436,MLAT,ToOpen,"09:47:22 ET"
MTN,148.25,Call,150,2025-11-21T16:30:00-06:00,36,"5.50 x 10","7.60 x 10",8,6000,ask,4800000,6223,112,44.32%,0.48829056510589,MLFT,BuyToOpen,"10:27:50 ET"
ORCL,305.43,Put,260,2026-09-18T16:30:00-05:00,337,"31.90 x 114","32.60 x 114",31.9,1500,bid,4785000,1502,188,51.55%,-0.2675758987,TLCT,SellToOpen,"11:44:15 ET"
FICO,1622.2,Put,1840,2025-10-17T16:30:00-05:00,1,"209.30 x 1","227.30 x 1",227.3,210,ask,4773300,212,22,197.56%,-0.8783067817,MLFT,BuyToOpen,"14:51:41 ET"
QURE,62.76,Call,15,2025-10-17T16:30:00-05:00,1,"46.60 x 161","48.90 x 123",47.61,1000,mid,4761000,1010,4064,0.00%,0,MLCT,N/A,"10:13:37 ET"
KMX,43.13,Put,57.5,2025-10-17T16:30:00-05:00,1,"13.90 x 229","15.70 x 206",15.7,3000,ask,4710000,3435,829,572.82%,-0.7907822942,MLFT,BuyToOpen,"15:12:47 ET"
SATS,72.36,Call,60,2025-10-17T16:30:00-05:00,1,"12.20 x 62","13.00 x 25",12.2,3853,bid,4700600,3921,4867,0.00%,0,MLET,N/A,"15:39:00 ET"
ACN,234.11,Put,315,2025-11-21T16:30:00-06:00,36,"78.70 x 129","82.10 x 153",80.7,580,mid,4680600,1560,95,0.00%,0,SLFT,N/A,"15:43:50 ET"
ALAB,161.21,Put,240,2025-10-17T16:30:00-05:00,1,"76.90 x 106","79.40 x 14",77.9,600,mid,4674000,4200,532,0.00%,0,SLFT,N/A,"14:36:21 ET"
GEV,600.1,Put,690,2025-10-17T16:30:00-05:00,1,"87.80 x 6","94.70 x 70",94.7,490,ask,4640300,490,48,136.74%,-0.9726738806,MLFT,BuyToOpen,"14:52:11 ET"
SMR,55.648,Put,51,2025-10-24T16:30:00-05:00,8,"2.63 x 164","3.85 x 330",3.07,15000,mid,4605000,15009,84,161.65%,-0.3129994849,MLAT,ToOpen,"10:36:47 ET"
NFLX,1179.0601,Call,1095,2025-10-24T16:30:00-05:00,8,"101.50 x 30","104.60 x 27",101.3,450,bid,4558500,450,4,73.51%,0.77107805253552,MLFT,SellToOpen,"15:37:13 ET"
IREN,64.31,Call,10,2026-01-16T16:30:00-06:00,92,"53.30 x 98","53.35 x 413",53.35,851,ask,4540000,1226,40223,0.00%,0,AUTO,N/A,"13:07:20 ET"
TSLA,425.7289,Put,440,2025-12-19T16:30:00-06:00,64,"47.40 x 20","47.65 x 62",47.74,950,ask,4535300,1076,2902,58.01%,-0.4976216957,MLFT,N/A,"14:44:17 ET"
MSTR,284.4385,Put,425,2025-10-17T16:30:00-05:00,1,"138.75 x 15","141.25 x 13",139.5,325,mid,4533700,326,32,0.00%,0,SLFT,ToOpen,"14:31:55 ET"
ACN,235.52,Put,315,2025-11-21T16:30:00-06:00,36,"78.10 x 36","81.30 x 25",78.1,580,bid,4529800,980,95,49.66%,-0.9693267225,MLFT,SellToOpen,"14:50:11 ET"
BIDU,121.075,Put,142,2025-10-17T16:30:00-05:00,1,"19.55 x 143","22.25 x 19",19.55,2290,bid,4476900,2290,640,0.00%,0,MLFT,SellToOpen,"14:48:54 ET"
CORZ,19.595,Call,10,2025-11-21T16:30:00-06:00,36,"8.40 x 2924","10.30 x 544",9.8,4500,mid,4410000,4500,5116,140.40%,0.96041287663677,TLCT,N/A,"15:37:07 ET"
CORZ,19.525,Call,10,2025-11-21T16:30:00-06:00,36,"8.40 x 3275","9.80 x 419",9.8,4500,ask,4410000,9000,5116,151.98%,0.95045251208092,TLCT,N/A,"15:47:57 ET"
OKLO,163.9515,Call,170,2025-11-21T16:30:00-06:00,36,"23.10 x 117","24.30 x 24",24,1835,mid,4404000,6055,1970,128.09%,0.54828533453618,AUTO,N/A,"14:54:17 ET"
DXCM,66.19,Put,110,2026-01-16T16:30:00-06:00,92,"43.40 x 359","45.70 x 260",44,1000,mid,4400000,1000,345,64.18%,-0.9469452339,MLFT,ToOpen,"15:15:16 ET"
AAPL,246.335,Put,260,2025-10-17T16:30:00-05:00,1,"13.15 x 151","13.75 x 728",13.75,3180,ask,4372500,6877,618,56.58%,-0.9654499553,MLFT,N/A,"14:47:44 ET"
KNSA,38.78,Call,30,2025-10-17T16:30:00-05:00,1,"8.50 x 6","8.80 x 1",8.7,5000,mid,4350000,5019,5177,218.32%,0.98939587633003,SLCN,N/A,"12:42:15 ET"
CAVA,63.4,Put,75,2025-10-17T16:30:00-05:00,1,"10.95 x 353","12.70 x 278",12.7,3410,ask,4330700,3434,4299,203.72%,-0.9361727007,MLFT,N/A,"14:55:41 ET"
ALAB,164.53,Put,222.5,2025-10-17T16:30:00-05:00,1,"57.50 x 30","60.30 x 98",60.3,710,ask,4281300,3302,305,361.40%,-0.9333928382,MLFT,N/A,"14:53:24 ET"
RH,174.8483,Put,220,2025-10-17T16:30:00-05:00,1,"43.00 x 11","47.80 x 17",47.8,890,ask,4254200,890,104,392.85%,-0.8447709188,MLFT,BuyToOpen,"15:04:02 ET"
NFLX,1182.035,Put,1280,2025-10-17T16:30:00-05:00,1,"96.45 x 27","102.25 x 20",96.45,440,bid,4243800,466,35,86.40%,-0.9594969699,MLFT,SellToOpen,"15:00:34 ET"
UNH,355.75,Put,450,2026-07-17T16:30:00-05:00,274,"105.35 x 266","110.05 x 29",107.7,393,mid,4232600,1001,1079,37.12%,-0.7117796784,MLET,N/A,"14:17:49 ET"
ANF,70.62,Put,70,2025-11-21T16:30:00-06:00,36,"3.80 x 28","4.00 x 44",4,10499,ask,4199600,10517,12517,49.88%,-0.4401613198,MLAT,N/A,"09:59:39 ET"
AVGO,354.041,Call,230,2027-06-17T16:30:00-05:00,609,"160.25 x 13","160.30 x 1073",160.25,261,bid,4182500,1481,405,53.57%,0.84164287224494,AUTO,N/A,"13:39:42 ET"
ENPH,37.64,Put,105,2026-01-16T16:30:00-06:00,92,"66.25 x 406","69.00 x 404",66.25,630,bid,4173700,730,324,121.95%,-0.9335938688,MLFT,SellToOpen,"14:54:54 ET"
APO,121.295,Put,190,2026-01-16T16:30:00-06:00,92,"66.90 x 231","69.40 x 152",68.31,610,mid,4166900,610,130,0.00%,0,MLFT,ToOpen,"14:48:25 ET"
OKLO,162.714,Call,220,2026-03-20T16:30:00-05:00,155,"33.55 x 31","34.50 x 45",34.49,1208,mid,4166300,1225,2329,120.17%,0.5112085188594,SLCN,N/A,"11:33:39 ET"
MSTR,286.93,Put,425,2025-10-17T16:30:00-05:00,1,"136.70 x 29","138.55 x 26",138.55,300,ask,4156500,626,32,367.78%,-0.9742444583,MLFT,N/A,"15:00:23 ET"
LULU,162.17,Put,330,2026-01-16T16:30:00-06:00,92,"163.00 x 11","168.30 x 10",165.65,250,mid,4141200,250,32,0.00%,0,SLFT,ToOpen,"14:33:03 ET"
FIG,58.62,Call,61,2025-10-24T16:30:00-05:00,8,"1.92 x 647","2.20 x 10",2.17,19000,mid,4123000,19260,576,90.69%,0.41189517145444,MLAT,ToOpen,"14:29:12 ET"
GOOGL,252.68,Put,265,2027-01-15T16:30:00-06:00,456,"41.00 x 38","41.50 x 14",41.1,1000,mid,4110000,3518,89,34.74%,-0.4491548334,SLCN,N/A,"13:15:21 ET"
LULU,163.79,Put,290,2025-12-19T16:30:00-06:00,64,"123.05 x 11","130.80 x 11",123.05,330,bid,4060600,330,38,84.49%,-0.9404611397,MLFT,SellToOpen,"14:50:33 ET"
ADBE,329.71,Put,365,2025-10-17T16:30:00-05:00,1,"31.50 x 168","37.10 x 135",31.51,1280,mid,4033200,4974,557,0.00%,0,MLFT,N/A,"14:47:54 ET"
RH,175.99,Put,220,2025-10-17T16:30:00-05:00,1,"43.00 x 9","47.80 x 23",45.2,890,mid,4022800,1780,104,308.41%,-0.903566044,SLFT,N/A,"15:55:06 ET"
ALAB,164.53,Put,207.5,2025-10-17T16:30:00-05:00,1,"41.90 x 112","45.20 x 88",41.9,960,bid,4022400,974,200,269.74%,-0.9422379214,MLFT,SellToOpen,"14:53:24 ET"
